119	Government sector services	554000000	0
120	For local government units	302827111	119
121	Tax and customs policy	43573727	119
122	Contributions to state pension fund	79084274	119
123	Environmental Fund 	36306767	119
124	Other	85301094	119
125	Defence	263000000	0
126	Defence Forces	150418963	125
127	Ministry of Defence	79285192	125
128	Other	33295845	125
129	Public order and safety 	318000000	0
130	Law and order, incl prisons	57402637	129
131	Court system	25466597	129
132	Internal security incl Police and Rescue Services	184500000	129
134	Other	50630766	129
135	Economic affairs	861000000	0
136	Support for SMEs	96208458	135
137	Housing and community amenities 	3544671	135
138	ICT in society	27247463	135
139	Public transport	67848668	135
140	Roads	321322543	135
141	Agriculture	311597951	135
142	Other	33230246	135
143	Environmental protection 	251000000	0
144	Local government investments in water and sewage systems	8000000	143
145	Investments in energy saving	25564658	143
146	Nature protection	11658779	143
147	Other	205776563	143
148	Housing and community amenities 	4000000	0
149	Health care	797000000	0
150	Health insurance fund	711221607	149
151	Other	85778393	149
152	Culture and sports	195000000	0
153	Culture	136319183	152
154	Sport	14747492	152
155	Other	43933325	152
156	Education	697000000	0
157	General education	46822899	156
158	Vocational education	111230659	156
159	Higher education	153871275	156
160	Research and development	138259367	156
161	Other	246815800	156
162	Social care	1975000000	0
163	Salaries for MPs	6907027	119
164	Family benefits	272647093	162
165	Social benefits	30000000	162
166	Benefits for the disabled	49211969	162
167	Pension fund	1286000000	162
168	Other	277878556	162
169	Employment Fund	59262382	162
