49	Value added tax	1300000000	0
50	Income tax	444200000	0
51	Social tax	1809762382	0
52	Tootemaksud	716831956	0
53	Property taxes	3600000	0
54	Mittemaksutulud	1464100000	0
55	Debt	176505662	0
56	Personal income tax	215400000	50
57	Corporate income tax	228800000	50
58	Social tax	1750500000	51
59	Unemployment insurance	59262382	51
60	Alcohol excise duty	170000000	52
61	Excise duty on tobacco	138900000	52
62	Fuel excise duty	364900000	52
63	Excise duty on electricity	31000000	52
64	Excise duty on packaging	31956	52
65	Gambling tax	19400000	52
66	Customs duties	23600000	52
67	Sales of goods and services	104400000	54
68	Subsidies	1111300000	54
69	Sales of material and immaterial assets	28500000	54
70	Income on assets	175200000	54
71	Other income	44700000	54
