49	Käibemaks	1300000000	0
50	Tulumaks	444200000	0
51	Sotsiaalmaksud	1809762382	0
52	Tootemaksud	716831956	0
53	Omandimaksud	3600000	0
54	Mittemaksutulud	1464100000	0
55	Laenud	176505662	0
56	Füüsilise isiku tulumaks	215400000	50
57	Juriidilise isiku tulumaks	228800000	50
58	Sotsiaalmaks	1750500000	51
59	Töötuskindlustus	59262382	51
60	Alkoholiaktsiis	170000000	52
61	Tubakaaktsiis	138900000	52
62	Kütuseaktsiis	364900000	52
63	Elektriaktsiis	31000000	52
64	Pakendiaktsiis	31956	52
65	Hasartmängumaks	19400000	52
66	Tollimaks	23600000	52
67	Kaupade ja teenuste müük	104400000	54
68	Välistoetused	1111300000	54
69	Varade müük	28500000	54
70	Tulud varadelt	175200000	54
71	Muud tulud	44700000	54
